system   D            wsystem.c:583  maybe_parent_dir                 [   0.00094] Also searching C:\Users\crape\Desktop\Programmeren\Project_Github\SlimeVolley\
display  D   display_settings.c:506  _al_score_display_settings       [   0.02330] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02330] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02331] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02332] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02333] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02334] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02335] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02336] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02337] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02342] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02343] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02344] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02345] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02346] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02347] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02347] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02348] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02349] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02350] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.02351] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02352] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02353] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02354] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02355] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02356] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02356] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02357] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02358] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02359] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02360] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02361] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02362] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02363] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02364] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02365] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02366] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02367] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02368] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02369] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02372] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02374] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02375] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02376] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02377] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02378] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02379] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02380] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02380] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02382] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02384] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02386] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02386] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02387] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02388] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02389] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02391] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02392] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02393] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02394] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02395] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02396] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02397] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02398] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02398] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02399] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02400] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02401] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02402] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02403] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02404] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02405] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02406] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02407] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02408] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02409] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02409] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02410] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02411] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02412] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02413] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02414] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02415] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02416] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02417] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02418] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02419] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02420] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02420] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02421] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02422] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02423] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02424] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02425] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02426] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02427] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02428] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02429] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02430] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02431] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02431] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02434] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02435] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02436] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02437] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02438] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02439] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02440] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02441] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02442] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02442] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02443] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02444] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02445] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.02448] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.02472] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.02475] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03696] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.04493] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.04496] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.04503] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.04507] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.04509] Returning d3d_display: 00A004C0
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.04510] al_display=00A004C0
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.04511] al_display->vt=009A3C28
dtor     D               dtor.c:184  _al_register_destructor          [   0.04705] added dtor for object 009CE138, func 711227A7
bitmap   W          bitmap_io.c:222  al_load_bitmap                   [   0.04720] Failed loading ./assets/images/none.png with .png handler.
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04831] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04833] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04834] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04835] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04835] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04836] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04837] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04838] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.04838] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.04839] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.04840] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.04841] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.04842] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.04857] added dtor for object 06F19F20, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.04919] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.04924] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05035] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05038] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05039] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05040] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05041] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05042] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05043] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05044] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05045] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.05046] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.05047] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.05049] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.05050] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.05107] added dtor for object 06F1A020, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.05534] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.05539] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06253] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06256] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06257] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06257] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06258] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06259] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06260] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06260] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.06261] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.06262] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.06263] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.06264] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.06264] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.06312] added dtor for object 00983310, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.06640] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.06645] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07423] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07425] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07426] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07427] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07427] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07428] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07429] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07430] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.07430] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.07431] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.07432] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.07433] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.07434] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.07481] added dtor for object 00983410, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.07839] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.07843] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08665] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08668] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08669] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08671] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08672] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08673] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08674] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08675] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08676] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08677] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08678] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08680] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08681] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08694] added dtor for object 06F1A958, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08729] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08731] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08826] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08828] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08829] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08830] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08830] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08831] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08832] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08833] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08834] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08835] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08836] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08836] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08837] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08846] added dtor for object 06F1AD78, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08861] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08863] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08946] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08948] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08948] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08949] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08950] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08951] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08951] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08952] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.08953] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.08953] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.08954] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.08955] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.08956] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.08963] added dtor for object 06F1AE78, func 71122590
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.08977] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.08979] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09075] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09076] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09077] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09078] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09078] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09079] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09080] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.09081] Fake format
